	faith_pd
H1	19.799350097999998
H10	23.585562316
H11	19.642076382000003
H12	12.486365303
H13	14.995479352
H14	17.092843848999998
H15	15.609219302
H16	24.310472256000004
H17	20.049565228
H18	21.734551467000003
H19	22.912829637
H2	16.058201017000002
H20	14.326041829
H21	16.181686486
H22	13.691118475000001
H23	30.695170699
H24	20.942712079000003
H25	14.352106764
H26	19.684965944
H27	16.606128569
H28	24.286052299999998
H29	26.290456739
H3	25.363595933
H30	21.986512708
H31	14.957372374
H32	15.170830695
H33	15.759025973
H34	12.747378272
H35	20.262026379
H36	14.262070723
H37	28.747663344000003
H38	22.092233710000002
H39	15.785364933
H4	13.732171011000002
H40	12.99289705
H41	18.780025263
H42	13.991479669
H43	20.476100131000003
H44	20.635252629
H45	18.394085713
H46	34.908394103
H47	12.828809419999999
H48	14.932669815
H49	16.031134829000003
H5	15.899994545
H50	16.73337935
H51	18.349571133
H52	14.748117077
H53	19.374006298
H54	25.63876661
H55	14.293216147999999
H56	21.739485732
H57	15.194274219999999
H58	8.74023084
H59	15.607232490000001
H6	12.745913182999999
H60	9.851635838
H7	21.840057831000003
H8	16.84650943
H9	16.514674623
SubGmCP1	12.308785064999999
SubGmCP10	15.085635661000001
SubGmCP11	16.522513052
SubGmCP13	12.295502598000002
SubGmCP2	10.294478894000001
SubGmCP3	11.220483226
SubGmCP4	12.846677929000002
SubGmCP5	8.095953517
SubGmCP6	11.765685971
SubGmCP7	19.292921978000003
SubGmCP8	15.537906222
SubGmCP9	5.693834342000001
SubGR1	17.028722313
SubGR2	17.460965529000003
SubGR3	10.687217249000001
SubGR4	12.549731511000001
SubGR5	8.870979775
SubGR6	29.968834397000002
SubGR7	7.5304084410000005
SubGR8	9.208376124
SubGsCP1	15.820161719
SubGsCP10	18.282083825
SubGsCP11	16.914845543000002
SubGsCP12	15.470160288999999
SubGsCP13	20.304487651000002
SubGsCP2	9.973878962
SubGsCP3	18.267757380000003
SubGsCP5	16.663553664000002
SubGsCP7	15.734950869
SubGsCP8	8.885589596
SubGsCP9	17.359741955000004
SupGmCP1	11.967493163
SupGmCP10	10.971801204
SupGmCP11	20.474337043000002
SupGmCP12	9.550142195000001
SupGmCP13	12.165546160000002
SupGmCP2	15.125961754
SupGmCP3	13.63248231
SupGmCP4	7.478645296000001
SupGmCP6	10.750729561
SupGmCP7	21.549647966000002
SupGmCP8	16.869509372
SupGmCP9	14.975430837000001
SupGR1	8.795161295000002
SupGR2	15.159386786999999
SupGR3	10.853209479
SupGR4	9.955846627
SupGR5	9.539500781000001
SupGR6	8.351017327000001
SupGR7	7.983026962
SupGR8	7.805427091
SupGsCP1	16.169473122
SupGsCP10	22.912510503
SupGsCP11	9.826219407
SupGsCP12	8.448821606000001
SupGsCP13	20.032406138
SupGsCP2	7.1658211220000005
SupGsCP3	15.385927997
SupGsCP4	10.261337112
SupGsCP5	12.953030081000001
SupGsCP6	7.793716990000002
SupGsCP7	12.695318930000001
SupGsCP8	7.779343149000002
SupGsCP9	11.408807957
TonguemCP1	15.527898658999998
TonguemCP10	19.442415982
TonguemCP11	15.638390447999999
TonguemCP12	21.829795538000003
TonguemCP13	22.884684543
TonguemCP2	9.213638284000002
TonguemCP3	13.658599995000001
TonguemCP4	13.301107833
TonguemCP5	12.996858717999999
TonguemCP6	11.788829456
TonguemCP7	13.120062665
TonguemCP8	18.53133596
TonguemCP9	10.410614475000001
TongueR1	10.148955882
TongueR2	14.091642569
TongueR3	10.473167202
TongueR4	10.203935672
TongueR5	11.199227769
TongueR6	11.268377131000001
TongueR7	13.573798087
TongueR8	10.717893607
TonguesCP1	16.42018632
TonguesCP11	17.967610812
TonguesCP12	10.016207475000002
TonguesCP13	14.814531511
TonguesCP2	7.440270829
TonguesCP3	14.121583967
TonguesCP5	12.565949501
TonguesCP6	9.55897603
TonguesCP7	22.400058985999998
TonguesCP8	11.02279953
TonguesCP9	12.125719059000001
