	shannon
H1	5.9070939402452565
H10	6.647643389750185
H11	5.704056318175248
H12	4.1742462985148245
H13	5.161836074602499
H14	4.451632823036174
H15	5.641213849881033
H16	6.863171255853379
H17	5.946076243655787
H18	6.503231173010419
H19	5.7605466992589305
H2	4.349763618288132
H20	5.036819690366174
H21	5.282359240035879
H22	4.78221995421088
H23	6.378196614753253
H24	5.784281905907462
H25	5.469035960021183
H26	6.214299326835933
H27	5.552160994749422
H28	6.36742741977757
H29	7.013529220733784
H3	5.862520295628365
H30	6.518798536785316
H31	5.370749030956405
H32	5.254741397776601
H33	3.87658443973307
H34	4.155782172662332
H35	6.309589677302379
H36	5.046741579150189
H37	6.666352776315499
H38	6.210688440817437
H39	5.307968827154927
H4	4.7088883342701795
H40	5.2472712476437735
H41	5.045601687347772
H42	3.9331929000993755
H43	5.251386561425373
H44	4.996230742328139
H45	5.513811116088152
H46	6.296366128947604
H47	4.978690389321582
H48	5.093533668406932
H49	4.392579701811126
H5	4.9832742630241365
H50	5.011639621286889
H51	5.324450569007026
H52	3.777420090391113
H53	6.087367239527661
H54	6.167542965118003
H55	5.0853673268891475
H56	4.745270090476131
H57	5.58962496446214
H58	4.405935352256264
H59	5.282318563781787
H6	4.972216094865193
H60	3.9309436611036856
H7	5.81675129512806
H8	6.472234084251207
H9	4.228676732125801
SubGmCP1	2.103085501983191
SubGmCP10	4.599213332637548
SubGmCP11	6.658205745598355
SubGmCP13	3.1950870214713345
SubGmCP2	3.7034798027062505
SubGmCP3	3.5745743731587623
SubGmCP4	3.7293840818257014
SubGmCP5	3.2388406362120437
SubGmCP6	3.0752206797155837
SubGmCP7	3.7838858056370026
SubGmCP8	5.96944342740057
SubGmCP9	1.113995762435924
SubGR1	4.2887316532949225
SubGR2	6.438500031788354
SubGR3	4.471924274822617
SubGR4	5.214961558553553
SubGR5	4.779427425927158
SubGR6	5.841095654147431
SubGR7	2.8447673718678637
SubGR8	2.954355722761198
SubGsCP1	4.976144793503589
SubGsCP10	6.465528146249665
SubGsCP11	5.239952803137312
SubGsCP12	5.659363395909167
SubGsCP13	6.016639642431218
SubGsCP2	3.5924562202302517
SubGsCP3	4.3282033773905635
SubGsCP5	6.4667711172901745
SubGsCP7	5.110071384070075
SubGsCP8	2.9518010848625527
SubGsCP9	5.578231219364968
SupGmCP1	3.6863886653118034
SupGmCP10	4.587892407157131
SupGmCP11	6.04092640737161
SupGmCP12	3.344172994205473
SupGmCP13	4.127741317179984
SupGmCP2	5.734524890394093
SupGmCP3	3.550061124509201
SupGmCP4	2.0842573219683205
SupGmCP6	4.449439363821509
SupGmCP7	4.599685230602085
SupGmCP8	6.530186004315612
SupGmCP9	4.384438222131498
SupGR1	3.1664152113408917
SupGR2	5.758085246678998
SupGR3	5.304789666482429
SupGR4	5.362124663119684
SupGR5	4.547147884273274
SupGR6	3.624462297371623
SupGR7	2.635809525455143
SupGR8	2.9836014037121643
SupGsCP1	5.128165363459764
SupGsCP10	5.742341970619627
SupGsCP11	4.414377261130685
SupGsCP12	1.77653300864989
SupGsCP13	6.514390387141708
SupGsCP2	3.7246012561254545
SupGsCP3	5.583526055782975
SupGsCP4	4.276586580823078
SupGsCP5	5.672707103191055
SupGsCP6	3.7829557616778136
SupGsCP7	5.251718208943858
SupGsCP8	1.8909093428637336
SupGsCP9	4.577225701963563
TonguemCP1	5.488327624325564
TonguemCP10	5.907215961715884
TonguemCP11	5.168889628717808
TonguemCP12	4.279912976019167
TonguemCP13	6.603970848797645
TonguemCP2	3.522996732202483
TonguemCP3	4.8783317041789225
TonguemCP4	4.834069417473167
TonguemCP5	4.781599784562864
TonguemCP6	5.072956571287907
TonguemCP7	3.6335437301608073
TonguemCP8	4.4677693327989285
TonguemCP9	3.5588510369236412
TongueR1	4.915586840969301
TongueR2	5.516492499497942
TongueR3	4.649157448294137
TongueR4	5.1131935306422
TongueR5	5.568203157498268
TongueR6	4.140412616343198
TongueR7	4.1595801207809755
TongueR8	4.76713319564136
TonguesCP1	3.991624332906795
TonguesCP11	5.5058718799059
TonguesCP12	3.2517964412906952
TonguesCP13	5.170560402009187
TonguesCP2	4.85752883005853
TonguesCP3	4.049780544456402
TonguesCP5	5.604848378469814
TonguesCP6	4.55444789498437
TonguesCP7	5.346761662989609
TonguesCP8	4.3600810505002645
TonguesCP9	4.146998823863119
