	shannon
H1	5.925907156540604
H10	6.653646684517956
H27	5.555824643682803
H28	6.3461807412448685
H29	6.976640076101822
H30	6.503433774042283
H31	5.367250374526094
H32	5.265269518243658
H33	3.8770555005464464
H34	4.13508704378487
H4	4.743317140590771
H5	4.927030606396651
H50	5.045720101436601
H51	5.3479088057899915
H52	3.7758355436046065
H58	4.372402062474785
H6	4.951505690186197
H7	5.818709627485192
H8	6.460834729707618
H9	4.31220491950164
SubGmCP1	2.110157486375299
SubGmCP10	4.6016736737653305
SubGmCP11	6.664765521828439
SubGmCP13	3.219564606428488
SubGmCP2	3.673648383224539
SubGmCP3	3.5917431340582278
SubGmCP4	3.723100681092297
SubGmCP5	3.256040759281102
SubGmCP6	3.075651260596701
SubGmCP7	3.817783725576102
SubGmCP8	5.949578185903163
SubGmCP9	1.1607626049507382
SubGR1	4.285703653860501
SubGR2	6.418025392239692
SubGR3	4.479193275676742
SubGR4	5.268865675535653
SubGR5	4.781743439340098
SubGR6	5.816241371800661
SubGR7	2.8414807088426883
SubGR8	2.9200304646584088
SubGsCP1	5.024154711045747
SubGsCP10	6.474852924769212
SubGsCP11	5.2312037077969515
SubGsCP12	5.655573801879225
SubGsCP13	6.029457131351814
SubGsCP2	3.578262549732587
SubGsCP3	4.312941012741442
SubGsCP5	6.44889933695276
SubGsCP7	5.1375533560225755
SubGsCP8	3.012155010488572
SubGsCP9	5.535655778789344
