#Type
otu_id	cluster	indicator_value	p_value	H1	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H2	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H3	H30	H31	H32	H33	H34	H35	H36	H37	H38	H39	H4	H40	H41	H42	H43	H44	H45	H46	H47	H48	H49	H5	H50	H51	H52	H53	H54	H55	H56	H57	H58	H59	H6	H60	H7	H8	H9	SubGmCP1	SubGmCP10	SubGmCP11	SubGmCP13	SubGmCP2	SubGmCP3	SubGmCP4	SubGmCP5	SubGmCP6	SubGmCP7	SubGmCP8	SubGmCP9	SubGR1	SubGR2	SubGR3	SubGR4	SubGR5	SubGR6	SubGR7	SubGR8	SubGsCP1	SubGsCP10	SubGsCP11	SubGsCP12	SubGsCP13	SubGsCP2	SubGsCP3	SubGsCP5	SubGsCP7	SubGsCP8	SubGsCP9	SupGmCP1	SupGmCP10	SupGmCP11	SupGmCP12	SupGmCP13	SupGmCP2	SupGmCP3	SupGmCP4	SupGmCP6	SupGmCP7	SupGmCP8	SupGmCP9	SupGR1	SupGR2	SupGR3	SupGR4	SupGR5	SupGR6	SupGR7	SupGR8	SupGsCP1	SupGsCP10	SupGsCP11	SupGsCP12	SupGsCP13	SupGsCP2	SupGsCP3	SupGsCP4	SupGsCP5	SupGsCP6	SupGsCP7	SupGsCP8	SupGsCP9	TonguemCP1	TonguemCP10	TonguemCP11	TonguemCP12	TonguemCP13	TonguemCP2	TonguemCP3	TonguemCP4	TonguemCP5	TonguemCP6	TonguemCP7	TonguemCP8	TonguemCP9	TongueR1	TongueR2	TongueR3	TongueR4	TongueR5	TongueR6	TongueR7	TongueR8	TonguesCP1	TonguesCP11	TonguesCP12	TonguesCP13	TonguesCP2	TonguesCP3	TonguesCP5	TonguesCP6	TonguesCP7	TonguesCP8	TonguesCP9
X3272048478d5f159df17ac93aa544758	Healthy	0.5558	0.001	63.0	6.0	1070.0	2794.0	1209.0	0.0	349.0	174.0	64.0	34.0	43.0	0.0	66.0	43.0	0.0	347.0	4.0	0.0	0.0	698.0	335.0	0.0	0.0	36.0	262.0	0.0	17.0	0.0	444.0	1578.0	0.0	9.0	176.0	755.0	0.0	23.0	0.0	17.0	13.0	0.0	0.0	0.0	51.0	0.0	1886.0	2467.0	116.0	0.0	589.0	747.0	0.0	0.0	0.0	0.0	6.0	631.0	0.0	362.0	130.0	52.0	0.0	23.0	0.0	0.0	18.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	6.0	0.0	176.0	0.0	3.0	0.0	0.0	172.0	0.0	0.0	0.0	184.0	0.0	0.0	18.0	6.0	0.0	0.0	0.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	0.0	0.0	3.0	0.0	0.0	0.0	25.0	0.0	10.0	8.0	0.0	0.0	51.0	2.0	43.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
Xd29c12050fdf8d3ccd3d3cfc8663bc33	Healthy	0.4663	0.004	27.0	56.0	36.0	24.0	572.0	0.0	11.0	20.0	33.0	64.0	101.0	0.0	21.0	40.0	5.0	38.0	27.0	48.0	62.0	248.0	39.0	18.0	13.0	67.0	1031.0	0.0	24.0	1.0	76.0	208.0	0.0	25.0	181.0	8.0	0.0	56.0	0.0	34.0	2.0	10.0	87.0	3.0	27.0	92.0	9.0	311.0	0.0	0.0	439.0	14.0	0.0	22.0	8.0	10.0	47.0	720.0	23.0	0.0	23.0	0.0	0.0	70.0	69.0	12.0	11.0	4.0	0.0	0.0	23.0	5.0	0.0	0.0	131.0	78.0	162.0	0.0	76.0	88.0	10.0	1.0	0.0	11.0	0.0	0.0	39.0	2.0	0.0	0.0	0.0	0.0	3.0	10.0	45.0	19.0	0.0	18.0	81.0	3.0	0.0	36.0	3.0	32.0	0.0	203.0	35.0	89.0	0.0	59.0	0.0	0.0	4.0	0.0	43.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	18.0	13.0	0.0	50.0	7.0	15.0	5.0	4.0	7.0	3.0	7.0	2.0	19.0	1.0	9.0	2.0	14.0	27.0	7.0	8.0	4.0	8.0	18.0	8.0	1.0	6.0	11.0	2.0	2.0	3.0	0.0
X8eaa2f1771299b8ce2888278071123ec	Healthy	0.3831	0.007	185.0	63.0	27.0	2.0	37.0	0.0	119.0	324.0	77.0	20.0	0.0	252.0	3.0	0.0	2.0	50.0	13.0	0.0	20.0	7.0	504.0	15.0	53.0	291.0	9.0	0.0	0.0	485.0	170.0	7.0	29.0	73.0	63.0	29.0	12.0	0.0	1757.0	0.0	1.0	1.0	33.0	0.0	0.0	29.0	28.0	6.0	18.0	0.0	103.0	21.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	306.0	373.0	229.0	0.0	0.0	192.0	14.0	41.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	37.0	2.0	19.0	0.0	0.0	137.0	0.0	4.0	0.0	82.0	55.0	87.0	93.0	0.0	158.0	0.0	173.0	3.0	1.0	0.0	0.0	28.0	12.0	0.0	79.0	22.0	2.0	0.0	0.0	147.0	27.0	0.0	0.0	264.0	0.0	0.0	113.0	0.0	0.0	0.0	62.0	0.0	0.0	311.0	0.0	32.0	1.0	0.0	7.0	134.0	3.0	0.0	0.0	194.0	0.0	231.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	20.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0
Xffc00e9bc9bd398b6d27bb2b35d48c94	Healthy	0.3686	0.001	19.0	48.0	0.0	2.0	72.0	0.0	0.0	59.0	36.0	13.0	0.0	0.0	19.0	46.0	0.0	75.0	0.0	12.0	44.0	9.0	66.0	36.0	6.0	10.0	0.0	0.0	1.0	0.0	24.0	26.0	24.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	25.0	0.0	0.0	0.0	218.0	3.0	41.0	0.0	0.0	240.0	0.0	14.0	17.0	0.0	31.0	52.0	0.0	0.0	153.0	2.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	15.0	0.0	0.0	28.0	0.0	0.0	3.0	0.0	0.0	21.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	22.0	0.0	0.0	0.0	11.0	0.0	0.0	2.0	0.0	14.0	11.0	2.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	16.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
Xfded2782fc71dc1ad2c1b4857cbd45c8	Healthy	0.3547	0.014	116.0	10.0	40.0	0.0	0.0	0.0	67.0	90.0	7.0	10.0	20.0	20.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	31.0	282.0	24.0	15.0	0.0	11.0	0.0	0.0	1354.0	179.0	25.0	201.0	0.0	23.0	69.0	0.0	0.0	2393.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	18.0	50.0	61.0	0.0	185.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	142.0	26.0	0.0	0.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	27.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	13.0	5.0	19.0	0.0	0.0	24.0	13.0	14.0	0.0	0.0	0.0	80.0	0.0	0.0	73.0	48.0	0.0	0.0	0.0	0.0	249.0	0.0	0.0	89.0	0.0	0.0	198.0	0.0	0.0	0.0	21.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	5.0	46.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
Xd297aeca9e1be78e932ea62ab39f3bd8	Healthy	0.3097	0.001	32.0	2.0	744.0	109.0	0.0	328.0	0.0	0.0	77.0	17.0	127.0	0.0	15.0	0.0	7.0	0.0	0.0	0.0	0.0	403.0	30.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	390.0	19.0	0.0	5.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1254.0	0.0	18.0	0.0	0.0	160.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	11.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	4.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	34.0	0.0	20.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X19ca317ea3cea3b432c83f5f24b73698	Healthy	0.3015	0.011	1.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	8.0	7.0	7.0	2.0	11.0	6.0	0.0	3.0	14.0	0.0	7.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4.0	18.0	11.0	0.0	4.0	25.0	0.0	0.0	20.0	0.0	0.0	19.0	6.0	0.0	10.0	10.0	14.0	1.0	5.0	3.0	0.0	1.0	0.0	0.0	2.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	4.0	0.0	6.0	0.0	19.0	0.0	0.0	0.0	2.0	7.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	1.0	2.0	0.0	19.0	5.0	0.0	0.0	3.0	2.0	0.0
X65a55bdc17b50cadaeba93146ac76a54	Healthy	0.2843	0.002	0.0	0.0	1.0	3.0	7.0	1.0	2.0	1.0	0.0	5.0	0.0	0.0	4.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	7.0	26.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	5.0	0.0	0.0	0.0	48.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X02b8372c9d14480f51f5a7acab3771a8	Healthy	0.2833	0.001	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	22.0	7.0	0.0	97.0	0.0	24.0	0.0	0.0	4.0	0.0	0.0	0.0	18.0	0.0	0.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	15.0	0.0	3.0	8.0	0.0	7.0	0.0	1.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xbd3b6a619bfba445025d755c2317d29c	Healthy	0.2750	0.002	0.0	0.0	32.0	2.0	0.0	0.0	16.0	230.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	32.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	79.0	17.0	0.0	31.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
