#Type
otu_id	cluster	indicator_value	p_value	H1	H10	H27	H28	H29	H30	H31	H32	H33	H34	H4	H5	H50	H51	H52	H58	H6	H7	H8	H9	SubGmCP1	SubGmCP10	SubGmCP11	SubGmCP13	SubGmCP2	SubGmCP3	SubGmCP4	SubGmCP5	SubGmCP6	SubGmCP7	SubGmCP8	SubGmCP9	SubGR1	SubGR2	SubGR3	SubGR4	SubGR5	SubGR6	SubGR7	SubGR8	SubGsCP1	SubGsCP10	SubGsCP11	SubGsCP12	SubGsCP13	SubGsCP2	SubGsCP3	SubGsCP5	SubGsCP7	SubGsCP8	SubGsCP9
X3272048478d5f159df17ac93aa544758	Healthy	0.6910	0.001	57.0	5.0	698.0	343.0	0.0	45.0	237.0	0.0	23.0	0.0	734.0	1866.0	2421.0	102.0	0.0	0.0	644.0	396.0	117.0	45.0	0.0	31.0	0.0	0.0	26.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	4.0	0.0	203.0	0.0	3.0	0.0
Xfded2782fc71dc1ad2c1b4857cbd45c8	Healthy	0.5287	0.030	107.0	10.0	34.0	332.0	28.0	0.0	13.0	0.0	0.0	1375.0	74.0	23.0	43.0	66.0	0.0	0.0	0.0	75.0	130.0	41.0	0.0	0.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	24.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	23.0	8.0	16.0	0.0	0.0	21.0	11.0	9.0	0.0
Xffc00e9bc9bd398b6d27bb2b35d48c94	Healthy	0.4522	0.011	15.0	52.0	11.0	58.0	40.0	15.0	0.0	0.0	0.0	0.0	0.0	228.0	5.0	39.0	0.0	0.0	52.0	0.0	139.0	1.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	4.0	0.0	0.0	25.0	0.0	0.0	5.0
X8eaa2f1771299b8ce2888278071123ec	Healthy	0.4420	0.035	169.0	66.0	6.0	523.0	11.0	287.0	5.0	0.0	0.0	488.0	25.0	23.0	7.0	31.0	0.0	0.0	7.0	308.0	391.0	206.0	0.0	0.0	215.0	13.0	30.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	36.0	1.0	23.0	0.0	0.0	123.0	0.0	2.0	0.0	81.0	58.0	77.0	102.0	0.0	151.0	0.0	168.0	2.0	2.0
X4a387eeb8f20f41c4b6ab0c7fbdc2abf	Healthy	0.4198	0.015	0.0	0.0	351.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	183.0	0.0	12.0	8.0	89.0	17.0	91.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	17.0	0.0	0.0
Xd297aeca9e1be78e932ea62ab39f3bd8	Healthy	0.4007	0.043	42.0	0.0	436.0	26.0	0.0	34.0	0.0	0.0	0.0	0.0	609.0	1260.0	0.0	20.0	0.0	22.0	0.0	0.0	0.0	24.0	0.0	9.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	1.0
X2947e2126e83909ea1d39ca8891c9ce7	Healthy	0.4002	0.010	45.0	0.0	0.0	26.0	47.0	28.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	33.0	0.0	0.0	0.0	181.0	162.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xef0e8243c786acd72f25a005e89a78e6	Healthy	0.3957	0.007	0.0	16.0	33.0	0.0	0.0	36.0	91.0	0.0	0.0	0.0	0.0	25.0	47.0	0.0	0.0	0.0	62.0	24.0	65.0	13.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
X19ca317ea3cea3b432c83f5f24b73698	Healthy	0.3827	0.048	2.0	3.0	1.0	0.0	2.0	0.0	7.0	1.0	7.0	0.0	0.0	0.0	35.0	0.0	0.0	18.0	4.0	0.0	2.0	0.0	0.0	3.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xd82aca8aba7a59effde7c7cd05d48371	Healthy	0.3679	0.038	5.0	0.0	9.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	12.0	4.0	0.0	0.0	0.0	0.0	4.0	123.0	27.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0
