#Type
otu_id	cluster	indicator_value	p_value	H19	H20	H21	H22	H23	H24	H25	H26	H3	H43	H44	H45	H46	H47	H48	H49	H56	H57	H59	H60	TonguemCP1	TonguemCP10	TonguemCP11	TonguemCP12	TonguemCP13	TonguemCP2	TonguemCP3	TonguemCP4	TonguemCP5	TonguemCP6	TonguemCP7	TonguemCP8	TonguemCP9	TongueR1	TongueR2	TongueR3	TongueR4	TongueR5	TongueR6	TongueR7	TongueR8	TonguesCP1	TonguesCP11	TonguesCP12	TonguesCP13	TonguesCP2	TonguesCP3	TonguesCP5	TonguesCP6	TonguesCP7	TonguesCP8	TonguesCP9
Xd29c12050fdf8d3ccd3d3cfc8663bc33	Healthy	0.5666	0.001	76.0	23.0	44.0	11.0	44.0	22.0	44.0	41.0	9.0	37.0	4.0	10.0	74.0	4.0	27.0	113.0	29.0	7.0	64.0	26.0	11.0	22.0	15.0	0.0	52.0	6.0	26.0	9.0	2.0	6.0	4.0	4.0	2.0	19.0	7.0	7.0	2.0	13.0	21.0	3.0	2.0	3.0	5.0	22.0	9.0	1.0	6.0	8.0	1.0	5.0	1.0	1.0
X4a20e56c5bf667a0b06c5e1a6636df9e	Healthy	0.5042	0.028	1.0	9.0	0.0	64.0	4.0	20.0	6.0	23.0	1.0	1.0	0.0	0.0	0.0	8.0	11.0	256.0	0.0	22.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	64.0	1.0	0.0
X94e8e7e130f9a9d450f253c5e1c6d17a	Healthy	0.5004	0.008	235.0	8.0	107.0	31.0	47.0	7.0	13.0	52.0	14.0	15.0	22.0	17.0	10.0	11.0	0.0	10.0	56.0	70.0	49.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	64.0	0.0	10.0	23.0	0.0	77.0	0.0	0.0	0.0	26.0	0.0	39.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	3.0	0.0	12.0
X02b8372c9d14480f51f5a7acab3771a8	Healthy	0.4500	0.003	22.0	0.0	83.0	0.0	21.0	1.0	0.0	4.0	21.0	3.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xe2babe640ad78b3004789ed749d32fbc	Healthy	0.4349	0.011	72.0	63.0	86.0	37.0	4.0	73.0	0.0	127.0	11.0	21.0	48.0	30.0	92.0	72.0	16.0	38.0	17.0	78.0	9.0	6.0	44.0	0.0	12.0	0.0	0.0	1.0	1.0	22.0	48.0	0.0	0.0	2.0	4.0	15.0	121.0	0.0	26.0	39.0	0.0	17.0	14.0	0.0	24.0	0.0	19.0	0.0	0.0	49.0	32.0	2.0	10.0	18.0
X4697377b816e6096574a5028c8c6667d	Healthy	0.4021	0.008	28.0	0.0	64.0	0.0	6.0	0.0	0.0	2.0	15.0	3.0	6.0	0.0	14.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X19ca317ea3cea3b432c83f5f24b73698	Healthy	0.3839	0.033	0.0	0.0	0.0	10.0	9.0	5.0	2.0	10.0	9.0	1.0	18.0	5.0	0.0	3.0	15.0	0.0	14.0	9.0	0.0	2.0	5.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	2.0	1.0	2.0	0.0	16.0	5.0	0.0	0.0	5.0	1.0	0.0
X07e0c7aca104d0c32d47d6fc91ca29a0	Healthy	0.3500	0.016	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	24.0	12.0	29.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X69df50e13adce44569a5aa4756619058	Healthy	0.3188	0.035	11.0	2.0	25.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	2.0	12.0	0.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X6a70b853bcf005f486bb8575722ecb34	Healthy	0.3000	0.024	3.0	0.0	30.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
