# Constructed from biom file
#OTU ID	H1	H10	H27	H28	H29	H30	H31	H32	H33	H34	H4	H5	H50	H51	H52	H58	H6	H7	H8	H9	SubGmCP1	SubGmCP10	SubGmCP11	SubGmCP13	SubGmCP2	SubGmCP3	SubGmCP4	SubGmCP5	SubGmCP6	SubGmCP7	SubGmCP8	SubGmCP9	SubGR1	SubGR2	SubGR3	SubGR4	SubGR5	SubGR6	SubGR7	SubGR8	SubGsCP1	SubGsCP10	SubGsCP11	SubGsCP12	SubGsCP13	SubGsCP2	SubGsCP3	SubGsCP5	SubGsCP7	SubGsCP8	SubGsCP9
d76c75daeea6be83e53b075cab89ddba	497.0	0.0	361.0	105.0	14.0	0.0	34.0	42.0	2144.0	1708.0	0.0	12.0	37.0	162.0	3278.0	1706.0	153.0	313.0	15.0	2.0	5751.0	174.0	29.0	348.0	701.0	2184.0	2870.0	205.0	112.0	1097.0	51.0	6686.0	892.0	44.0	181.0	1330.0	58.0	471.0	1.0	3555.0	31.0	3.0	1134.0	1498.0	27.0	1594.0	11.0	11.0	139.0	1343.0	8.0
83f7b394c754eaaaa00229e4b472ce20	0.0	193.0	10.0	0.0	27.0	7.0	58.0	41.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	177.0	8.0	0.0	3.0	8.0	4.0	39.0	30.0	1249.0	77.0	0.0	2.0	2898.0	15.0	84.0	0.0	13.0	6.0	24.0	10.0	0.0	683.0	109.0	1944.0	12.0	7.0	0.0	30.0	0.0	25.0	0.0	21.0	8.0	0.0	8.0	0.0
d8c7106106e1b46a1d15c1781d12441e	16.0	344.0	290.0	71.0	74.0	61.0	81.0	287.0	848.0	700.0	76.0	16.0	232.0	370.0	263.0	47.0	332.0	27.0	122.0	103.0	0.0	71.0	149.0	218.0	234.0	17.0	11.0	231.0	90.0	29.0	11.0	10.0	79.0	152.0	238.0	108.0	25.0	224.0	416.0	247.0	170.0	136.0	57.0	492.0	23.0	126.0	9.0	64.0	8.0	20.0	11.0
0b3115b7ebb5fbca104857e95986ff73	107.0	16.0	18.0	0.0	0.0	19.0	0.0	76.0	0.0	0.0	0.0	0.0	3.0	0.0	159.0	94.0	57.0	14.0	0.0	0.0	179.0	146.0	0.0	17.0	0.0	872.0	39.0	707.0	93.0	0.0	40.0	30.0	2029.0	84.0	0.0	197.0	1183.0	723.0	2.0	527.0	0.0	0.0	119.0	126.0	16.0	2278.0	66.0	0.0	39.0	1729.0	0.0
d739dc04ee8c381d5aa7a9b725b8debf	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	1269.0	0.0	126.0	0.0	0.0	0.0	25.0	0.0	0.0	171.0	0.0	3305.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
f90460cf1721146f822786702bfdf81f	7.0	24.0	18.0	13.0	16.0	39.0	16.0	152.0	18.0	0.0	3.0	6.0	18.0	27.0	85.0	11.0	36.0	0.0	0.0	5.0	4.0	6.0	103.0	4.0	97.0	39.0	4.0	17.0	11.0	21.0	2.0	5.0	35.0	51.0	27.0	3.0	0.0	26.0	16.0	2.0	59.0	31.0	3.0	23.0	21.0	52.0	0.0	7.0	0.0	16.0	13.0
71f75fea05ad44dba94dd48c806893fc	42.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	44.0	0.0	0.0	0.0	0.0	34.0	35.0	3997.0	2841.0	300.0	3.0	0.0	19.0	18.0	0.0	0.0	0.0	0.0	1055.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1409.0	83.0	0.0	0.0	0.0	0.0
ad73e70a7522b848a83bb732a72dd4be	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	443.0	9.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	11.0
f84348c5553d9d44e95252418471bc42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	3.0	26.0	12.0	0.0	135.0	4.0	0.0	0.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
879c4a99c6953c8e8a001166372d0205	175.0	65.0	972.0	263.0	10.0	36.0	31.0	9.0	0.0	145.0	51.0	417.0	36.0	160.0	58.0	201.0	40.0	133.0	61.0	1365.0	0.0	38.0	120.0	59.0	633.0	0.0	32.0	18.0	7.0	0.0	8.0	0.0	52.0	79.0	0.0	134.0	173.0	38.0	187.0	0.0	0.0	55.0	318.0	30.0	29.0	543.0	128.0	7.0	24.0	75.0	0.0
d261a0afa301ad8913ec8eb14cc1809b	81.0	163.0	84.0	0.0	479.0	220.0	1036.0	0.0	0.0	0.0	0.0	208.0	358.0	106.0	0.0	0.0	353.0	44.0	48.0	59.0	0.0	320.0	636.0	0.0	68.0	61.0	0.0	24.0	114.0	0.0	25.0	0.0	20.0	247.0	181.0	229.0	0.0	295.0	79.0	0.0	39.0	504.0	207.0	0.0	160.0	200.0	0.0	302.0	30.0	5.0	30.0
3b8cabb4f0dcac917cedec3fa71e2fc3	72.0	235.0	0.0	22.0	14.0	0.0	198.0	484.0	0.0	26.0	0.0	0.0	87.0	26.0	185.0	0.0	53.0	112.0	68.0	13.0	0.0	277.0	27.0	1.0	0.0	0.0	0.0	38.0	4962.0	0.0	5.0	0.0	35.0	73.0	1510.0	57.0	549.0	143.0	0.0	91.0	0.0	0.0	923.0	1.0	31.0	0.0	0.0	42.0	0.0	37.0	0.0
f77fd8df4c0f9372dc998db60efc9e48	61.0	68.0	41.0	0.0	136.0	0.0	34.0	81.0	1239.0	0.0	0.0	23.0	277.0	246.0	850.0	1316.0	24.0	32.0	56.0	4.0	0.0	45.0	0.0	38.0	264.0	46.0	52.0	80.0	37.0	80.0	0.0	94.0	23.0	19.0	61.0	303.0	532.0	121.0	510.0	237.0	20.0	0.0	9.0	55.0	22.0	80.0	0.0	0.0	8.0	72.0	0.0
05e62ff023aa607870d4bedbdcff93a7	3.0	21.0	0.0	0.0	4.0	31.0	19.0	31.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	4.0	3.0	12.0	52.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	2.0	0.0	6.0	20.0	3.0	0.0	0.0	6.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86bed449fd88b24f76226996ab2eac39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	54.0	10.0	0.0	11.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c0e89d744297aee4bbae63ff7fdaccd4	236.0	847.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	1504.0	1392.0	661.0	0.0	0.0	0.0	1812.0	0.0	0.0	0.0	0.0	0.0	0.0	366.0	0.0	4.0	0.0	0.0	176.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	175.0	40.0	0.0	18.0	0.0	0.0	46.0	0.0	152.0	32.0
3272048478d5f159df17ac93aa544758	57.0	5.0	698.0	343.0	0.0	45.0	237.0	0.0	23.0	0.0	734.0	1866.0	2421.0	102.0	0.0	0.0	644.0	396.0	117.0	45.0	0.0	31.0	0.0	0.0	26.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	4.0	0.0	203.0	0.0	3.0	0.0
0217c85b5f8f9fc58da6de215c0513bd	353.0	24.0	459.0	186.0	0.0	0.0	124.0	712.0	48.0	0.0	10.0	41.0	0.0	0.0	75.0	209.0	0.0	0.0	11.0	0.0	0.0	1315.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	72.0	0.0	0.0	21.0	728.0	51.0	0.0	0.0	0.0	10.0	40.0	0.0	33.0	0.0	4.0	0.0	0.0	0.0	0.0
