# Constructed from biom file
#OTU ID	H11	H12	H13	H14	H15	H16	H17	H18	H2	H35	H36	H37	H38	H39	H40	H41	H42	H53	H54	H55	SupGmCP1	SupGmCP10	SupGmCP11	SupGmCP12	SupGmCP13	SupGmCP2	SupGmCP3	SupGmCP4	SupGmCP6	SupGmCP7	SupGmCP8	SupGmCP9	SupGR1	SupGR2	SupGR3	SupGR4	SupGR5	SupGR6	SupGR7	SupGR8	SupGsCP1	SupGsCP10	SupGsCP11	SupGsCP12	SupGsCP13	SupGsCP2	SupGsCP3	SupGsCP4	SupGsCP5	SupGsCP6	SupGsCP7	SupGsCP8	SupGsCP9
d76c75daeea6be83e53b075cab89ddba	2.0	278.0	52.0	309.0	136.0	12.0	12.0	0.0	172.0	301.0	34.0	12.0	34.0	42.0	753.0	1197.0	332.0	5.0	83.0	831.0	3542.0	247.0	22.0	330.0	359.0	15.0	472.0	4708.0	532.0	676.0	385.0	10.0	1794.0	15.0	116.0	83.0	21.0	2367.0	4832.0	3130.0	232.0	16.0	256.0	5857.0	21.0	1180.0	35.0	915.0	24.0	427.0	1229.0	5971.0	397.0
83f7b394c754eaaaa00229e4b472ce20	2.0	2.0	0.0	28.0	6.0	0.0	57.0	249.0	0.0	6.0	0.0	25.0	1.0	29.0	25.0	0.0	0.0	7.0	0.0	0.0	19.0	14.0	30.0	236.0	2086.0	25.0	45.0	2.0	0.0	74.0	0.0	0.0	19.0	41.0	87.0	8.0	93.0	41.0	430.0	20.0	31.0	6.0	38.0	0.0	3.0	0.0	86.0	332.0	78.0	175.0	0.0	15.0	14.0
d8c7106106e1b46a1d15c1781d12441e	75.0	47.0	39.0	0.0	65.0	64.0	299.0	129.0	4.0	81.0	230.0	67.0	63.0	6.0	75.0	528.0	206.0	555.0	425.0	598.0	7.0	25.0	43.0	21.0	308.0	187.0	114.0	38.0	84.0	11.0	116.0	3.0	47.0	200.0	99.0	115.0	36.0	222.0	158.0	125.0	455.0	240.0	24.0	239.0	30.0	99.0	163.0	110.0	210.0	205.0	71.0	10.0	70.0
0b3115b7ebb5fbca104857e95986ff73	0.0	191.0	12.0	56.0	6.0	0.0	0.0	18.0	0.0	0.0	5.0	0.0	267.0	3.0	108.0	0.0	0.0	0.0	0.0	17.0	523.0	27.0	17.0	52.0	63.0	0.0	995.0	83.0	130.0	0.0	15.0	0.0	3532.0	29.0	0.0	69.0	1355.0	9.0	12.0	567.0	18.0	0.0	32.0	1096.0	0.0	1456.0	176.0	1793.0	70.0	0.0	234.0	346.0	165.0
d739dc04ee8c381d5aa7a9b725b8debf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	6.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	14.0	0.0	0.0	19.0	0.0	706.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	826.0	38.0	0.0	0.0
f90460cf1721146f822786702bfdf81f	1.0	93.0	28.0	7.0	5.0	6.0	15.0	63.0	8.0	20.0	73.0	23.0	20.0	4.0	19.0	17.0	22.0	32.0	71.0	85.0	6.0	13.0	13.0	186.0	12.0	20.0	26.0	0.0	11.0	0.0	21.0	0.0	56.0	62.0	12.0	11.0	6.0	0.0	41.0	2.0	128.0	111.0	98.0	72.0	20.0	106.0	54.0	50.0	24.0	128.0	5.0	4.0	26.0
71f75fea05ad44dba94dd48c806893fc	0.0	25.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	12.0	669.0	93.0	935.0	4204.0	397.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	650.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	840.0	125.0	836.0	0.0	0.0	0.0	0.0	77.0
ad73e70a7522b848a83bb732a72dd4be	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	1485.0	15.0	0.0	0.0	0.0	0.0	383.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	23.0
f84348c5553d9d44e95252418471bc42	0.0	16.0	0.0	4.0	0.0	11.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	53.0	13.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
879c4a99c6953c8e8a001166372d0205	42.0	515.0	92.0	171.0	377.0	174.0	349.0	185.0	26.0	502.0	570.0	74.0	39.0	26.0	17.0	26.0	33.0	59.0	76.0	44.0	21.0	37.0	119.0	166.0	362.0	442.0	15.0	35.0	0.0	0.0	7.0	0.0	0.0	86.0	0.0	654.0	155.0	1131.0	11.0	0.0	0.0	517.0	3.0	0.0	17.0	217.0	525.0	36.0	112.0	289.0	805.0	17.0	0.0
d261a0afa301ad8913ec8eb14cc1809b	75.0	51.0	438.0	0.0	186.0	69.0	1091.0	261.0	0.0	144.0	25.0	302.0	340.0	600.0	0.0	0.0	0.0	955.0	466.0	676.0	0.0	1569.0	1124.0	38.0	0.0	47.0	184.0	0.0	0.0	0.0	371.0	0.0	65.0	271.0	372.0	451.0	6.0	71.0	18.0	0.0	176.0	277.0	23.0	0.0	70.0	41.0	432.0	186.0	916.0	0.0	0.0	0.0	143.0
3b8cabb4f0dcac917cedec3fa71e2fc3	0.0	0.0	50.0	0.0	75.0	31.0	16.0	432.0	0.0	6.0	16.0	8.0	156.0	13.0	312.0	0.0	6.0	7.0	95.0	71.0	363.0	20.0	58.0	2.0	0.0	0.0	0.0	0.0	48.0	7.0	374.0	1.0	5.0	15.0	222.0	42.0	884.0	1.0	0.0	943.0	6.0	2.0	0.0	0.0	0.0	0.0	27.0	4.0	3.0	217.0	22.0	6.0	0.0
f77fd8df4c0f9372dc998db60efc9e48	0.0	37.0	31.0	45.0	15.0	0.0	22.0	74.0	172.0	31.0	8.0	133.0	18.0	0.0	38.0	376.0	0.0	165.0	168.0	177.0	17.0	0.0	207.0	365.0	110.0	63.0	0.0	18.0	0.0	103.0	91.0	5.0	20.0	0.0	214.0	973.0	122.0	13.0	648.0	83.0	78.0	25.0	340.0	739.0	48.0	1709.0	199.0	307.0	0.0	528.0	98.0	26.0	23.0
05e62ff023aa607870d4bedbdcff93a7	0.0	0.0	16.0	0.0	0.0	0.0	13.0	325.0	0.0	0.0	0.0	41.0	16.0	18.0	0.0	69.0	0.0	0.0	0.0	11.0	3.0	0.0	54.0	5.0	0.0	46.0	7.0	0.0	0.0	0.0	0.0	0.0	27.0	25.0	10.0	0.0	0.0	0.0	17.0	21.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0
86bed449fd88b24f76226996ab2eac39	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	19.0	12.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c0e89d744297aee4bbae63ff7fdaccd4	0.0	164.0	1680.0	1712.0	1356.0	0.0	0.0	636.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	511.0	0.0	0.0	72.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	591.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	0.0	925.0	1973.0
3272048478d5f159df17ac93aa544758	1079.0	2783.0	1195.0	0.0	373.0	193.0	54.0	42.0	0.0	458.0	1552.0	0.0	23.0	176.0	0.0	37.0	0.0	580.0	727.0	0.0	0.0	166.0	0.0	0.0	0.0	178.0	0.0	0.0	18.0	6.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.0	0.0	0.0	8.0	0.0	0.0	0.0	24.0	0.0	13.0	5.0	0.0
0217c85b5f8f9fc58da6de215c0513bd	86.0	35.0	0.0	1151.0	0.0	37.0	6.0	151.0	0.0	217.0	184.0	0.0	5.0	46.0	226.0	671.0	0.0	5.0	0.0	802.0	20.0	540.0	0.0	0.0	0.0	56.0	0.0	0.0	13.0	0.0	0.0	0.0	502.0	0.0	0.0	31.0	1341.0	0.0	0.0	0.0	0.0	255.0	23.0	0.0	65.0	0.0	73.0	5.0	0.0	0.0	44.0	2.0	0.0
52e61fd8fed61e20bb7a0867cc1061d7	0.0	27.0	97.0	0.0	0.0	41.0	0.0	230.0	3.0	13.0	65.0	0.0	3.0	0.0	653.0	399.0	333.0	80.0	0.0	24.0	0.0	8.0	36.0	4078.0	131.0	0.0	0.0	0.0	58.0	0.0	35.0	0.0	0.0	442.0	0.0	30.0	84.0	7.0	204.0	0.0	1070.0	62.0	2110.0	0.0	0.0	0.0	264.0	160.0	384.0	0.0	0.0	0.0	0.0
759b1e7420fed861c1b63d9e5b79c118	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	10.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83c6f9e53a67fc43831f20e401ebd4ef	0.0	5.0	9.0	3.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	78.0	27.0	0.0	118.0	17.0	0.0	13.0	0.0	0.0	0.0	0.0	70.0	0.0	2090.0	10.0	5.0	0.0	0.0	1.0	40.0	6.0	0.0	14.0	0.0	262.0	167.0	0.0	310.0	15.0	0.0	0.0	225.0	0.0	2.0	0.0	17.0	8.0	15.0	2728.0	0.0	33.0	25.0
65f2bab1c7e3da83fd12bb90701e65a0	4.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
269fd6cc72ac3496ef59fee61b7a0ace	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	36.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	9.0	0.0
b24064dd451dbc5384f2c37b311f5f34	0.0	0.0	0.0	10.0	23.0	36.0	277.0	105.0	745.0	156.0	47.0	20.0	69.0	331.0	204.0	0.0	0.0	98.0	41.0	0.0	11.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	224.0	2367.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	30.0	43.0	0.0	0.0
969ba38a4fdc564e5f4d5aa9a8c1a71c	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	3.0	118.0	0.0	17.0	0.0	0.0	9.0	0.0	0.0	85.0	77.0	5.0	12.0	13.0	0.0	0.0	0.0	0.0	3.0	17.0	0.0	0.0	68.0	458.0	0.0	103.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	491.0	238.0
9b2fcfae23988780e93be6d86007e951	0.0	21.0	0.0	0.0	0.0	0.0	0.0	4.0	174.0	7.0	0.0	0.0	106.0	0.0	131.0	0.0	0.0	6.0	11.0	3.0	714.0	68.0	46.0	0.0	0.0	0.0	149.0	0.0	195.0	2051.0	143.0	0.0	0.0	7.0	0.0	19.0	0.0	0.0	176.0	21.0	11.0	7.0	503.0	0.0	0.0	0.0	0.0	183.0	22.0	0.0	0.0	0.0	316.0
6f3466d56975b5fb37be10d34c5b6ded	320.0	0.0	188.0	0.0	0.0	0.0	627.0	62.0	4.0	197.0	17.0	102.0	322.0	22.0	0.0	14.0	0.0	0.0	642.0	352.0	22.0	136.0	742.0	34.0	0.0	104.0	99.0	0.0	51.0	0.0	121.0	0.0	0.0	333.0	659.0	56.0	0.0	56.0	0.0	7.0	82.0	56.0	0.0	0.0	18.0	0.0	636.0	36.0	574.0	0.0	0.0	0.0	77.0
51394f6f03e02ef7d674fcb69f10b5e5	128.0	170.0	23.0	802.0	0.0	103.0	0.0	17.0	0.0	69.0	10.0	0.0	0.0	4.0	150.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	29.0	0.0	0.0	0.0	0.0	39.0	0.0	1.0	71.0	0.0	46.0	1.0	0.0	0.0	0.0	0.0	466.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0
47c83520d97c85203b093010d411fbbb	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0
3fca09f6acdf17f2db902a9a08f462e5	36.0	4.0	7.0	5.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
e778b4761c1ad5dd7c8fb830b3e00525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
645f3bcecdd724f6017317fcc447a48a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
4cbcd12f48ab9d6cead4e2ea99b82f8a	120.0	0.0	0.0	0.0	91.0	129.0	477.0	29.0	20.0	0.0	288.0	91.0	14.0	38.0	0.0	0.0	18.0	0.0	134.0	51.0	0.0	0.0	0.0	9.0	0.0	148.0	30.0	0.0	0.0	13.0	31.0	21.0	0.0	11.0	368.0	193.0	0.0	630.0	0.0	0.0	0.0	141.0	2.0	0.0	41.0	275.0	0.0	27.0	0.0	0.0	127.0	0.0	0.0
